127.0.0.1 - - [05/Aug/2022:09:25:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:26:15 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:19 +0900] "GET /project/student_list.so?class_id=1&dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98 HTTP/1.1" 200 19173
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:19 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:19 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:20 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=mu HTTP/1.1" 200 15145
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:20 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:20 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:22 +0900] "GET /project/student_list.so?class_id=2&dis=1&class_name=%EA%B3%A02%20A-2%EB%B0%98 HTTP/1.1" 200 20952
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:22 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:22 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:23 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-2%EB%B0%98&student_id=t HTTP/1.1" 200 15137
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:23 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:23 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:25 +0900] "GET /project/student_list.so?class_id=16&dis=1&class_name=%ED%99%8DT%20%EA%B3%A03%20%EB%AF%B8%EC%A0%81%EB%B6%84%20%EC%88%98%EB%8A%A5%EB%8C%80%EB%B9%84%20%EC%8B%AC%ED%99%94%EB%B0%98 HTTP/1.1" 200 23924
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:25 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:25 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:26 +0900] "GET /project/student_detail.so?dis=1&class_name=%ED%99%8DT%20%EA%B3%A03%20%EB%AF%B8%EC%A0%81%EB%B6%84%20%EC%88%98%EB%8A%A5%EB%8C%80%EB%B9%84%20%EC%8B%AC%ED%99%94%EB%B0%98&student_id=hs6 HTTP/1.1" 200 15171
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:26 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:26 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:28 +0900] "GET /project/student_list.so?class_id=5&dis=1&class_name=%EA%B3%A02%20%EC%98%81%EC%96%B4-a%EB%B0%98 HTTP/1.1" 200 18385
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:28 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:28 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:31 +0900] "GET /project/student_list.so?class_id=6&dis=1&class_name=%EA%B3%A01%20%EC%98%81%EC%96%B4%20%ED%8A%B9%EA%B0%95 HTTP/1.1" 200 16617
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:31 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:31 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:38 +0900] "GET /project/student_list.so?class_id=7&dis=1&class_name=%EA%B3%A01%20%EC%98%81%EC%96%B4%20%EB%8B%A8%EA%B3%BC HTTP/1.1" 200 16591
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:38 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:38 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:41 +0900] "GET /project/student_list.so?class_id=25&dis=1&class_name=%EC%A4%91%EB%93%B1%20%EA%B3%BC%ED%95%99 HTTP/1.1" 200 17494
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:41 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:41 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:44 +0900] "GET /project/student_list.so?class_id=27&dis=1&class_name=%EA%B3%A01%20%EB%8C%80%EB%B9%84%EB%B0%98 HTTP/1.1" 200 17502
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:44 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:32:44 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:37 +0900] "GET /project/student_list.so?class_id=1&dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98 HTTP/1.1" 200 19173
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:37 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:37 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:38 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15132
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:38 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:38 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:44 +0900] "GET /project/class_list.so HTTP/1.1" 200 21683
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:44 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:44 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:46 +0900] "GET /project/student_list.so?class_id=1&dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98 HTTP/1.1" 200 19173
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:46 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:46 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:49 +0900] "GET /project/student_list.so?class_id=1&dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98 HTTP/1.1" 200 19173
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:49 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:49 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:51 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15132
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:51 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:09:45:51 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:10:24:02 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15132
0:0:0:0:0:0:0:1 - - [05/Aug/2022:10:24:02 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:10:24:02 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:53:45 +0900] "GET /project/css/styles.css HTTP/1.1" 200 222762
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:53:45 +0900] "GET /sm/cdee99b46c97a8258f6b20f118c46d5f8f006142c5bd25c12f862c4e7bf0ec89.map HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:12 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:12 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:12 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:12 +0900] "GET /project/js/datatables-simple-demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:12 +0900] "GET /project/js/simple-datatables.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:12 +0900] "GET /project/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:13 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:13 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:13 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:23 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:24 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:25 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:26 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:27 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:28 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:28 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:28 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:28 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:28 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:28 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:29 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:29 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:29 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:29 +0900] "GET /project/css/styles.css HTTP/1.1" 200 222762
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:29 +0900] "GET /project/js/scripts.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:29 +0900] "GET /project/js/datatables-simple-demo.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:29 +0900] "GET /project/js/simple-datatables.js HTTP/1.1" 200 111318
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /project/css/styles.css HTTP/1.1" 200 222762
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /project/js/scripts.js HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /project/js/datatables-simple-demo.js HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /project/js/simple-datatables.js HTTP/1.1" 200 111318
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /project/student_detail.so?dis=1&class_name=%EA%B3%A02%20A-1%EB%B0%98&student_id=qqq HTTP/1.1" 200 15979
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /project/css/styles.css HTTP/1.1" 200 222762
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /js/demo/chart-bar-demo.js HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /js/demo/chart-area-demo.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [05/Aug/2022:11:54:30 +0900] "GET /project/js/datatables-simple-demo.js HTTP/1.1" 200 312
